drugbank_id	name	cas	group	description	indication
DB00048	Collagenase clostridium histolyticum	9001-12-1	approved,investigational,	Collagenase clostridium histolyticum is an enzyme produced by the bacterium Clostridium histolyticum that dismantles collagen. It is used as a powder-and-solvent injection kit for the treatment of Dupuytren's contracture, a condition where the fingers bend towards the palm and cannot be fully straightened, and Peyronie's disease, a connective tissue disorder involving the growth of fibrous plaques in the soft tissue of the penis. BioSpecifics Technologies developed the preparation, which is manufactured and marketed by Auxilium Pharmaceuticals as Xiaflex in the US and by Sobi as Xiapex in Europe.	Used to promote debridement of necrotic tissue in the treatment of severe burns and dermal ulcers including decubitus ulcers.
DB00049	Rasburicase	134774-45-1	approved,investigational,	Rasburicase is a recombinant urate-oxidase enzyme produced by a genetically modified <i>Saccharomyces cerevisiae</i> strain. The cDNA coding for rasburicase was cloned from a strain of <i>Aspergillus flavus</i>.	For treatment of hyperuricemia, reduces elevated plasma uric acid levels (from chemotherapy)
DB00050	Cetrorelix	120287-85-6	approved,investigational,	Cetrorelix is a man-made hormone that blocks the effects of Gonadotropin Releasing Hormone (GnRH). GnRH controls another hormone that is called luteinizing hormone (LH), which is the hormone that starts ovulation during the menstrual cycle. When undergoing hormone treatment sometimes premature ovulation can occur, leading to eggs that are not ready for fertilization to be released. Cetrorelix does not allow the premature release of these eggs to occur.	For the inhibition of premature LH surges in women undergoing controlled ovarian stimulation
DB00051	Adalimumab	331731-18-1	approved,	Adalimumab is a human monoclonal antibody against TNF-alpha. It is produced by recombinant DNA technology using a mammalian cell expression system. It consists of 1330 amino acids and has a molecular weight of approximately 148 kilodaltons [L1306].	For treatment of rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, and Crohn's disease.
DB00052	Somatotropin	12629-01-5	approved,investigational,	Recombinant human growth hormone (somatotropin) 191 residues, MW 22.1 kD, synthesized in E. coli	For treatment of dwarfism, acromegaly and prevention of HIV-induced weight loss
DB00053	Imiglucerase	154248-97-2	approved,	Human Beta-glucocerebrosidase or Beta-D-glucosyl-N-acylsphingosine glucohydrolase E.C. 3.2.1.45. 497 residue protein with N-linked carbohydrates, MW=59.3 kD. Alglucerase is prepared by modification of the oligosaccharide chains of human Beta-glucocerebrosidase. The modification alters the sugar residues at the non-reducing ends of the oligosaccharide chains of the glycoprotein so that they are predominantly terminated with mannose residues	For the treatment of Gaucher's disease (deficiency in glucocerebrosidase)
DB00054	Abciximab	143653-53-6	approved,	Abciximab is a Fab fragment of the chimeric human-murine monoclonal antibody 7E3. Abciximab binds to the glycoprotein (GP) IIb/IIIa receptor of human platelets and inhibits platelet aggregation by preventing the binding of fibrinogen, von Willebrand factor, and other adhesive molecules. It also binds to vitronectin (αvβ3) receptor found on platelets and vessel wall endothelial and smooth muscle cells.	Abciximab is indicated as an adjunct to percutaneous coronary intervention for the prevention of cardiac ischemic complications in patients undergoing percutaneous coronary intervention and in patients with unstable angina not responding to conventional medical therapy when percutaneous coronary intervention is planned within 24 hours. Abciximab is intended for use with aspirin and heparin and has been studied only in that setting.
DB00055	Drotrecogin alfa	98530-76-8	approved,investigational,withdrawn,	Drotrecogin alfa is activated human protein C that is synthesized by recombinant DNA technology. It is a glycoprotein of approximately 55 kilodalton molecular weight, consisting of a heavy chain and a light chain linked by a disulfide bond. Drotrecogin alfa was withdrawn from the market after a major study indicated that it was not effective in improving outcomes in patients with sepsis. 	For reduction of mortality in patients with severe sepsis.
DB00056	Gemtuzumab ozogamicin	220578-59-6	approved,investigational,	"Gemtuzumab ozogamicin is a recombinant humanized IgG4 kappa antibody which is conjugated with calicheamicin derivative, a cytotoxic antitumor antibiotic isolated from fermentation of Micromonospora echinospora ssp. calichensis. Gemtuzumab ozogamicin has approximately 50% of the antibody loaded with 4-6 moles calicheamicin per mole of antibody [FDA Label]. The antibody is specifically directed against the CD33 antigen present on leukemic myeloblasts in most patients with acute myeloid leukemia (AML). By binding to the CD33 antigen on tumors, the cytotoxic agent blocks the growth of cancerous cells and causes cell death. 

Marketing approval of gemtuzumab ozogamicin was granted on May 17, 2000 by FDA as a treatment for patients with CD33-positive AML in first relapse who are 60 years of age or older and who are not considered candidates for cytotoxic chemotherapy [A98]. However, it was voluntarily withdrawn from the market in 2010 due to safety concerns, increased patient deaths and insufficient evidence of clinical benefit during confirmatory trials [L941]. On September 1 2017, gemtuzumab ozogamicin was again approved for the treatment of adults with newly diagnosed CD33-positive acute myeloid leukemia but with a lower dosing regimen and a different schedule in combination with chemotherapy or on its own [L941]. It is also indicated for the treatment of patients aged 2 years and older with CD33-positive AML who have experienced a relapse or who have not responded to initial treatment (refractory) [L941]."	Indicated for the treatment of patients with CD33 positive acute myeloid leukemia in first relapse who are 60 years of age or older and who are not considered candidates for other cytotoxic chemotherapy. Indicated for the treatment of patients aged 2 years and older with CD33-positive AML who have experienced a relapse or who have not responded to initial treatment (refractory). 
DB00057	Indium In-111 satumomab pendetide	138955-27-8	approved,withdrawn,	Tumor associated glycoprotein (TAG) 72 (B72.3) monoclonal antibody conjugated with Indium 111 for radioimaging colon tumors. Satumomab Pendetide (trade name: OncoScint®) is no longer commercially available.	For diagnosis of extrahepatic malignant cancers
DB00058	Alpha-1-proteinase inhibitor	9041-92-3	approved,	Human alpha-1 proteinase inhibitor or alpha-1-antitrypsin, prepared from human plasma via Cohn alcohol fractionation followed by PEG and zinc chloride fractionation.	For chronic augmentation and maintenance therapy in individuals with alpha1-proteinase inhibitor (A1-PI) deficiency and clinical evidence of emphysema.
DB00059	Pegaspargase	130167-69-0	approved,investigational,	Pegylated L-asparagine amidohydrolase from E. coli. Pegylation substantially (by a factor of 4) extends the protein half life.	For treatment of acute lymphoblastic leukemia
DB00060	Interferon beta-1a	145258-61-3	approved,investigational,	Human interferon beta (166 residues), glycosylated, MW=22.5kD. It is produced by mammalian cells (Chinese Hamster Ovary cells) into which the human interferon beta gene has been introduced. The amino acid sequence is identical to that of natural human interferon beta.	For treatment of relapsing/remitting multiple sclerosis, also for condyloma acuminatum
DB00061	Pegademase bovine	9026-93-1	approved,	Bovine adenosine deaminase derived from bovine intestine that has been extensively pegylated for extended serum half life.	For treatment of adenosine deaminase deficiency
DB00062	Human Serum Albumin	9048-46-8	approved,	"Serum albumin is the main protein of human blood plasma. It binds to water, cations (such as Ca2+, Na+ and K+), fatty acids, hormones, bilirubin, thyroxine (T4) and pharmaceuticals (including barbiturates). The main function of albumin is to maintain the oncotic pressure of blood [A33706]. There are various preparations of albumin that are well established and widely available in the clinical setting [L3108], [L3109], [L310].

Also known as _Albuminex_ 5% or 25%, one brand of human serum albumin is prepared from the pooled plasma of US donors in FDA-licensed facilities in the US [F229].  This is a biosimilar drug to existing human serum albumin and was approved for a biological license at both 5% and 25% concentrations by the FDA on June 21, 2018 [L3101]."	Albuminex solution is indicated for adults and children for hypovolemia, ascites, hypoalbuminemia including from burns, acute nephrosis, acute respiratory distress syndrome and cardipulmonary bypass [F229].
